BNBBUSD,BNBBTC,BNBETH,BTCBUSD,DOGEBUSD,DOGEBTC,ETHBUSD,ETHBTC
395.00000000,0.00886800,0.12290000,44548.71000000,0.23370000,0.00000524,3213.99000000,0.07214300
394.50000000,0.00885800,0.12290000,44518.40000000,0.23390000,0.00000525,3209.55000000,0.07208500
395.70000000,0.00886200,0.12270000,44642.85000000,0.23420000,0.00000524,3223.61000000,0.07221000
396.40000000,0.00887400,0.12240000,44672.58000000,0.23460000,0.00000526,3239.93000000,0.07251800
394.50000000,0.00885200,0.12260000,44576.73000000,0.23400000,0.00000525,3219.44000000,0.07223700
395.80000000,0.00885800,0.12240000,44693.88000000,0.23490000,0.00000525,3232.99000000,0.07233800
391.40000000,0.00884700,0.12290000,44231.67000000,0.23210000,0.00000525,3183.96000000,0.07197900
395.50000000,0.00887300,0.12280000,44597.83000000,0.23490000,0.00000527,3221.37000000,0.07220000
397.40000000,0.00888000,0.12270000,44754.28000000,0.23590000,0.00000527,3235.01000000,0.07227600
398.60000000,0.00888400,0.12260000,44870.05000000,0.23720000,0.00000529,3251.92000000,0.07246900
399.50000000,0.00889200,0.12300000,44927.29000000,0.23700000,0.00000528,3248.48000000,0.07230500
397.60000000,0.00888200,0.12300000,44752.04000000,0.23590000,0.00000527,3229.00000000,0.07215700
397.70000000,0.00889300,0.12330000,44708.24000000,0.23610000,0.00000528,3221.36000000,0.07205100
396.90000000,0.00889400,0.12370000,44634.48000000,0.23560000,0.00000527,3211.75000000,0.07196200
397.10000000,0.00888900,0.12340000,44686.18000000,0.23540000,0.00000527,3218.15000000,0.07202400
399.20000000,0.00892300,0.12340000,44725.61000000,0.23590000,0.00000528,3232.15000000,0.07225700
408.70000000,0.00883200,0.12150000,46294.99000000,0.24350000,0.00000525,3364.87000000,0.07269400
405.20000000,0.00877900,0.12220000,46158.61000000,0.24130000,0.00000523,3314.34000000,0.07182000
394.90000000,0.00892100,0.12410000,44245.06000000,0.23350000,0.00000527,3183.82000000,0.07194700
392.50000000,0.00888900,0.12390000,44147.87000000,0.23160000,0.00000524,3167.57000000,0.07176500
389.90000000,0.00885600,0.12210000,44023.01000000,0.23090000,0.00000524,3187.39000000,0.07241000
388.80000000,0.00884500,0.12230000,43950.74000000,0.23090000,0.00000526,3181.93000000,0.07239800
393.60000000,0.00891900,0.12300000,44133.79000000,0.23270000,0.00000527,3198.20000000,0.07246600
396.30000000,0.00895800,0.12360000,44263.02000000,0.23390000,0.00000529,3207.69000000,0.07248400
395.30000000,0.00890800,0.12310000,44379.15000000,0.23420000,0.00000528,3214.05000000,0.07241700
395.20000000,0.00890600,0.12350000,44373.66000000,0.23320000,0.00000526,3203.69000000,0.07219700
394.60000000,0.00891900,0.12350000,44253.97000000,0.23330000,0.00000526,3193.24000000,0.07216900
393.90000000,0.00889400,0.12360000,44281.71000000,0.23320000,0.00000526,3189.08000000,0.07202600
394.10000000,0.00890200,0.12350000,44263.59000000,0.23400000,0.00000528,3193.08000000,0.07214100
394.50000000,0.00888000,0.12310000,44443.26000000,0.23430000,0.00000527,3209.68000000,0.07221900
394.90000000,0.00888600,0.12300000,44431.41000000,0.23420000,0.00000528,3211.20000000,0.07227100
394.60000000,0.00888400,0.12300000,44412.36000000,0.23420000,0.00000527,3207.52000000,0.07221900
395.20000000,0.00888900,0.12310000,44457.19000000,0.23380000,0.00000526,3211.50000000,0.07223400
396.60000000,0.00891800,0.12310000,44477.11000000,0.23430000,0.00000526,3220.67000000,0.07242100
395.40000000,0.00890400,0.12320000,44406.09000000,0.23460000,0.00000528,3210.27000000,0.07229800
396.90000000,0.00890600,0.12310000,44566.49000000,0.23530000,0.00000528,3223.78000000,0.07233000
397.30000000,0.00889100,0.12300000,44677.43000000,0.23580000,0.00000527,3227.37000000,0.07222700
397.00000000,0.00887800,0.12320000,44715.90000000,0.23570000,0.00000526,3222.43000000,0.07207100
396.70000000,0.00888200,0.12320000,44654.42000000,0.23490000,0.00000527,3219.14000000,0.07209000
398.90000000,0.00891000,0.12290000,44762.49000000,0.23600000,0.00000527,3247.34000000,0.07254900
397.90000000,0.00890000,0.12270000,44718.21000000,0.23590000,0.00000528,3245.38000000,0.07256600
398.60000000,0.00890800,0.12250000,44758.80000000,0.23590000,0.00000527,3255.01000000,0.07273100
399.60000000,0.00890300,0.12230000,44880.01000000,0.23670000,0.00000528,3271.03000000,0.07287400
399.10000000,0.00891300,0.12240000,44789.24000000,0.23630000,0.00000527,3263.55000000,0.07286100
399.90000000,0.00890400,0.12190000,44916.00000000,0.23740000,0.00000528,3282.09000000,0.07306800
401.30000000,0.00888500,0.12200000,45181.36000000,0.23830000,0.00000527,3289.34000000,0.07280400
401.00000000,0.00889200,0.12200000,45107.15000000,0.23810000,0.00000527,3286.11000000,0.07287100
400.40000000,0.00888900,0.12210000,45046.49000000,0.23830000,0.00000529,3278.13000000,0.07281100
401.20000000,0.00890900,0.12230000,45024.50000000,0.23760000,0.00000528,3278.55000000,0.07280500
400.50000000,0.00887400,0.12230000,45117.03000000,0.23710000,0.00000525,3277.53000000,0.07263700
399.30000000,0.00887300,0.12200000,44994.32000000,0.23640000,0.00000526,3274.87000000,0.07277400
400.40000000,0.00889000,0.12160000,45059.77000000,0.23660000,0.00000526,3297.27000000,0.07317800
399.70000000,0.00886700,0.12130000,45080.01000000,0.23660000,0.00000524,3295.15000000,0.07309800
399.60000000,0.00886500,0.12150000,45069.47000000,0.23650000,0.00000524,3288.39000000,0.07297200
399.50000000,0.00887600,0.12150000,44998.86000000,0.23640000,0.00000526,3290.34000000,0.07312000
398.90000000,0.00888100,0.12150000,44909.04000000,0.23550000,0.00000525,3282.54000000,0.07309400
399.50000000,0.00887100,0.12120000,45015.40000000,0.23580000,0.00000524,3296.68000000,0.07320900
399.20000000,0.00888200,0.12140000,44949.20000000,0.23600000,0.00000525,3286.23000000,0.07310200
400.80000000,0.00888400,0.12100000,45126.58000000,0.23700000,0.00000525,3311.92000000,0.07339000
396.70000000,0.00884800,0.12050000,44825.09000000,0.23510000,0.00000525,3290.35000000,0.07339100
398.80000000,0.00885300,0.12070000,45051.02000000,0.23610000,0.00000524,3305.73000000,0.07337700
399.40000000,0.00884200,0.12050000,45176.99000000,0.23660000,0.00000523,3316.51000000,0.07340600
399.30000000,0.00882400,0.12040000,45237.63000000,0.23590000,0.00000521,3315.84000000,0.07329500
401.00000000,0.00886300,0.12080000,45257.62000000,0.23720000,0.00000524,3321.87000000,0.07339600
400.10000000,0.00885700,0.12110000,45162.62000000,0.23630000,0.00000523,3306.92000000,0.07321500
399.90000000,0.00885900,0.12110000,45142.02000000,0.23630000,0.00000524,3305.14000000,0.07321800
399.00000000,0.00885700,0.12120000,45054.17000000,0.23550000,0.00000522,3295.70000000,0.07314500
398.50000000,0.00884300,0.12110000,45053.14000000,0.23480000,0.00000521,3293.24000000,0.07309000
398.90000000,0.00884000,0.12110000,45131.08000000,0.23530000,0.00000522,3297.14000000,0.07305700
398.10000000,0.00883900,0.12120000,45038.68000000,0.23530000,0.00000523,3284.18000000,0.07292400
399.30000000,0.00886000,0.12150000,45060.06000000,0.23540000,0.00000522,3287.40000000,0.07294800
400.80000000,0.00887300,0.12140000,45174.99000000,0.23630000,0.00000523,3304.57000000,0.07314100
401.60000000,0.00887700,0.12140000,45268.67000000,0.23670000,0.00000522,3309.99000000,0.07311800
